2G,3G,4G,Operateur,result_city
1,1,1,Bouygues,Landévant
1,1,1,Orange,Minihy-Tréguier
1,1,0,Orange,Carnac
1,1,1,Orange,Bourbriac
1,1,0,SFR,Bourbriac
1,0,0,Bouygues,Bourbriac
0,1,1,Free,Bourbriac
1,1,0,Orange,La Roche-Jaudy
1,1,1,Orange,Carnac
1,1,1,SFR,Carnac
1,1,1,Bouygues,Carnac
0,1,1,Free,Carnac
1,1,1,Orange,Landaul
0,1,1,Free,Landaul
1,1,1,Orange,Saint-Nicolas-du-Pélem
1,1,1,SFR,Saint-Nicolas-du-Pélem
1,1,1,Bouygues,Saint-Nicolas-du-Pélem
0,1,1,Free,Saint-Nicolas-du-Pélem
1,1,0,Orange,Bon Repos sur Blavet
1,1,0,Orange,Plouisy
0,0,0,Orange,Carnac
0,1,0,Orange,Carnac
0,1,0,Bouygues,Carnac
0,1,1,Orange,Carnac
1,1,0,Orange,Ploemel
1,1,0,Orange,Locoal-Mendon
1,1,1,Orange,Grâces
1,1,1,Orange,Guingamp
1,1,1,SFR,Guingamp
1,1,1,Bouygues,Guingamp
1,1,1,Orange,La Trinité-sur-Mer
1,1,1,SFR,La Trinité-sur-Mer
1,1,1,Bouygues,La Trinité-sur-Mer
1,1,0,Orange,La Trinité-sur-Mer
1,1,0,Orange,Quemper-Guézennec
1,1,0,SFR,Quemper-Guézennec
1,1,0,Bouygues,Quemper-Guézennec
0,1,1,Free,Quemper-Guézennec
0,1,0,Orange,Ploumagoar
1,1,0,Orange,Pabu
1,1,0,Orange,Ploumagoar
1,1,0,Orange,Cléguérec
1,1,1,Orange,Saint-Agathon
1,1,1,Orange,Saint-Philibert
0,0,0,Orange,Pluvigner
0,1,0,Orange,Saint-Agathon
1,1,0,Bouygues,Saint-Agathon
0,1,1,Free,Saint-Agathon
1,1,0,Orange,Crach
1,1,1,SFR,Crach
1,1,1,Bouygues,Crach
1,1,0,Orange,Plésidy
1,0,0,Bouygues,Plésidy
1,1,0,Orange,Canihuel
1,1,0,SFR,Canihuel
1,1,0,Bouygues,Canihuel
0,1,0,Free,Canihuel
1,1,1,Orange,Brech
0,1,0,SFR,Brech
1,1,0,Orange,Pleubian
1,1,1,SFR,Pleubian
1,0,0,Bouygues,Pleubian
1,1,1,Bouygues,Pleubian
1,1,1,Orange,Auray
1,0,0,Orange,Guern
1,1,1,Orange,Pluvigner
1,1,1,SFR,Auray
1,1,1,Bouygues,Auray
1,1,1,Orange,Baud
1,1,0,Orange,Brech
1,1,1,SFR,Brech
1,1,1,Bouygues,Brech
0,1,0,Orange,Île-d'Houat
1,1,1,SFR,Île-d'Houat
1,1,1,Bouygues,Île-d'Houat
1,1,0,Orange,Lézardrieux
1,1,0,Bouygues,Lézardrieux
0,1,1,Free,Lézardrieux
1,1,0,Orange,Auray
1,1,0,Orange,Malguénac
1,1,1,Orange,Locmariaquer
1,1,0,Orange,Pluméliau-Bieuzy
1,1,0,Orange,Corlay
1,1,0,Orange,Saint-Connan
1,1,0,SFR,Saint-Connan
1,1,0,Bouygues,Saint-Connan
0,1,0,Free,Saint-Connan
1,1,0,Orange,Sainte-Anne-d'Auray
1,1,0,Orange,Bono
1,1,1,SFR,Bono
1,1,1,Bouygues,Bono
1,1,1,Orange,Guerlédan
1,0,0,Orange,Saint-Jean-Kerdaniel
1,1,0,Orange,Paimpol
1,1,0,Orange,Pontivy
1,1,0,Orange,Guénin
1,1,1,Orange,Paimpol
1,1,0,SFR,Paimpol
1,1,1,Orange,Le Sourn
1,1,1,Orange,Pontivy
0,1,1,Free,Paimpol
1,1,1,Orange,Arzon
1,1,1,Orange,Baden
1,1,1,SFR,Arzon
1,1,1,Bouygues,Arzon
0,1,1,SFR,Paimpol
1,1,1,Bouygues,Paimpol
1,1,0,Orange,Brandivy
1,1,0,Orange,Pléhédel
1,1,1,Orange,Ploubazlanec
1,1,0,Orange,Arzon
1,1,0,Orange,Plougoumelen
1,1,1,SFR,Plougoumelen
1,1,1,Bouygues,Plougoumelen
0,1,1,Free,Plougoumelen
0,1,1,Orange,Arzon
0,1,1,Orange,Lanvollon
1,1,0,Orange,Guerlédan
1,1,0,Orange,Île-de-Bréhat
